"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Norway","blank1","blank2","ext",100,100,0,100,0,0,0,5079623
"Norway","blank1","blank2","female",100,100,,100,,,,5079623
"Norway","blank1","blank2","fifteento49",100,100,,100,,,,5079623
"Norway","blank1","blank2","fiveto14",100,100,,100,,,,5079623
"Norway","blank1","blank2","gt49",100,100,,100,,,,5079623
"Norway","blank1","blank2","higher",,,,,,,,5079623
"Norway","blank1","blank2","male",100,100,,100,,,,5079623
"Norway","blank1","blank2","no.birth.reg",,,,,,,,5079623
"Norway","blank1","blank2","no.educ",,,,,,,,5079623
"Norway","blank1","blank2","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","blank2","non.p20",100,100,100,100,100,100,100,5079623
"Norway","blank1","blank2","p20",100,100,0,100,0,0,0,5079623
"Norway","blank1","blank2","primary",,,,,,,,5079623
"Norway","blank1","blank2","rural",100,100,,100,,,,5079623
"Norway","blank1","blank2","secondary",,,,,,,,5079623
"Norway","blank1","blank2","stunted",,,,,,,,5079623
"Norway","blank1","blank2","under5",100,100,,100,,,,5079623
"Norway","blank1","blank2","urban",100,100,,100,,,,5079623
"Norway","blank1","ext","female",100,0,,0,,,,5079623
"Norway","blank1","ext","fifteento49",100,0,,0,,,,5079623
"Norway","blank1","ext","fiveto14",100,0,,0,,,,5079623
"Norway","blank1","ext","gt49",100,0,,0,,,,5079623
"Norway","blank1","ext","higher",,,,,,,,5079623
"Norway","blank1","ext","male",100,0,,0,,,,5079623
"Norway","blank1","ext","no.birth.reg",,,,,,,,5079623
"Norway","blank1","ext","no.educ",,,,,,,,5079623
"Norway","blank1","ext","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","ext","non.p20",100,0,100,0,0,100,0,5079623
"Norway","blank1","ext","p20",100,0,0,0,0,0,0,5079623
"Norway","blank1","ext","primary",,,,,,,,5079623
"Norway","blank1","ext","rural",100,0,,0,,,,5079623
"Norway","blank1","ext","secondary",,,,,,,,5079623
"Norway","blank1","ext","stunted",,,,,,,,5079623
"Norway","blank1","ext","under5",100,0,,0,,,,5079623
"Norway","blank1","ext","urban",100,0,,0,,,,5079623
"Norway","blank1","female","fifteento49",100,,,,,,,5079623
"Norway","blank1","female","fiveto14",100,,,,,,,5079623
"Norway","blank1","female","gt49",100,,,,,,,5079623
"Norway","blank1","female","higher",,,,,,,,5079623
"Norway","blank1","female","male",100,,,,,,,5079623
"Norway","blank1","female","no.birth.reg",,,,,,,,5079623
"Norway","blank1","female","no.educ",,,,,,,,5079623
"Norway","blank1","female","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","female","non.p20",100,,100,,,100,,5079623
"Norway","blank1","female","p20",100,,0,,,0,,5079623
"Norway","blank1","female","primary",,,,,,,,5079623
"Norway","blank1","female","rural",100,,,,,,,5079623
"Norway","blank1","female","secondary",,,,,,,,5079623
"Norway","blank1","female","stunted",,,,,,,,5079623
"Norway","blank1","female","under5",100,,,,,,,5079623
"Norway","blank1","female","urban",100,,,,,,,5079623
"Norway","blank1","fifteento49","fiveto14",100,,,,,,,5079623
"Norway","blank1","fifteento49","gt49",100,,,,,,,5079623
"Norway","blank1","fifteento49","higher",,,,,,,,5079623
"Norway","blank1","fifteento49","male",100,,,,,,,5079623
"Norway","blank1","fifteento49","no.birth.reg",,,,,,,,5079623
"Norway","blank1","fifteento49","no.educ",,,,,,,,5079623
"Norway","blank1","fifteento49","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","fifteento49","non.p20",100,,100,,,100,,5079623
"Norway","blank1","fifteento49","p20",100,,0,,,0,,5079623
"Norway","blank1","fifteento49","primary",,,,,,,,5079623
"Norway","blank1","fifteento49","rural",100,,,,,,,5079623
"Norway","blank1","fifteento49","secondary",,,,,,,,5079623
"Norway","blank1","fifteento49","stunted",,,,,,,,5079623
"Norway","blank1","fifteento49","under5",100,,,,,,,5079623
"Norway","blank1","fifteento49","urban",100,,,,,,,5079623
"Norway","blank1","fiveto14","gt49",100,,,,,,,5079623
"Norway","blank1","fiveto14","higher",,,,,,,,5079623
"Norway","blank1","fiveto14","male",100,,,,,,,5079623
"Norway","blank1","fiveto14","no.birth.reg",,,,,,,,5079623
"Norway","blank1","fiveto14","no.educ",,,,,,,,5079623
"Norway","blank1","fiveto14","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","fiveto14","non.p20",100,,100,,,100,,5079623
"Norway","blank1","fiveto14","p20",100,,0,,,0,,5079623
"Norway","blank1","fiveto14","primary",,,,,,,,5079623
"Norway","blank1","fiveto14","rural",100,,,,,,,5079623
"Norway","blank1","fiveto14","secondary",,,,,,,,5079623
"Norway","blank1","fiveto14","stunted",,,,,,,,5079623
"Norway","blank1","fiveto14","under5",100,,,,,,,5079623
"Norway","blank1","fiveto14","urban",100,,,,,,,5079623
"Norway","blank1","gt49","higher",,,,,,,,5079623
"Norway","blank1","gt49","male",100,,,,,,,5079623
"Norway","blank1","gt49","no.birth.reg",,,,,,,,5079623
"Norway","blank1","gt49","no.educ",,,,,,,,5079623
"Norway","blank1","gt49","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","gt49","non.p20",100,,100,,,100,,5079623
"Norway","blank1","gt49","p20",100,,0,,,0,,5079623
"Norway","blank1","gt49","primary",,,,,,,,5079623
"Norway","blank1","gt49","rural",100,,,,,,,5079623
"Norway","blank1","gt49","secondary",,,,,,,,5079623
"Norway","blank1","gt49","stunted",,,,,,,,5079623
"Norway","blank1","gt49","under5",100,,,,,,,5079623
"Norway","blank1","gt49","urban",100,,,,,,,5079623
"Norway","blank1","higher","male",,,,,,,,5079623
"Norway","blank1","higher","no.birth.reg",,,,,,,,5079623
"Norway","blank1","higher","no.educ",,,,,,,,5079623
"Norway","blank1","higher","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","higher","non.p20",,,,,,,,5079623
"Norway","blank1","higher","p20",,,,,,,,5079623
"Norway","blank1","higher","primary",,,,,,,,5079623
"Norway","blank1","higher","rural",,,,,,,,5079623
"Norway","blank1","higher","secondary",,,,,,,,5079623
"Norway","blank1","higher","stunted",,,,,,,,5079623
"Norway","blank1","higher","under5",,,,,,,,5079623
"Norway","blank1","higher","urban",,,,,,,,5079623
"Norway","blank1","male","no.birth.reg",,,,,,,,5079623
"Norway","blank1","male","no.educ",,,,,,,,5079623
"Norway","blank1","male","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","male","non.p20",100,,100,,,100,,5079623
"Norway","blank1","male","p20",100,,0,,,0,,5079623
"Norway","blank1","male","primary",,,,,,,,5079623
"Norway","blank1","male","rural",100,,,,,,,5079623
"Norway","blank1","male","secondary",,,,,,,,5079623
"Norway","blank1","male","stunted",,,,,,,,5079623
"Norway","blank1","male","under5",100,,,,,,,5079623
"Norway","blank1","male","urban",100,,,,,,,5079623
"Norway","blank1","no.birth.reg","no.educ",,,,,,,,5079623
"Norway","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","no.birth.reg","non.p20",,,,,,,,5079623
"Norway","blank1","no.birth.reg","p20",,,,,,,,5079623
"Norway","blank1","no.birth.reg","primary",,,,,,,,5079623
"Norway","blank1","no.birth.reg","rural",,,,,,,,5079623
"Norway","blank1","no.birth.reg","secondary",,,,,,,,5079623
"Norway","blank1","no.birth.reg","stunted",,,,,,,,5079623
"Norway","blank1","no.birth.reg","under5",,,,,,,,5079623
"Norway","blank1","no.birth.reg","urban",,,,,,,,5079623
"Norway","blank1","no.educ","no.skilled.attendant",,,,,,,,5079623
"Norway","blank1","no.educ","non.p20",,,,,,,,5079623
"Norway","blank1","no.educ","p20",,,,,,,,5079623
"Norway","blank1","no.educ","primary",,,,,,,,5079623
"Norway","blank1","no.educ","rural",,,,,,,,5079623
"Norway","blank1","no.educ","secondary",,,,,,,,5079623
"Norway","blank1","no.educ","stunted",,,,,,,,5079623
"Norway","blank1","no.educ","under5",,,,,,,,5079623
"Norway","blank1","no.educ","urban",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","non.p20",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","p20",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","primary",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","rural",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","secondary",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","stunted",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","under5",,,,,,,,5079623
"Norway","blank1","no.skilled.attendant","urban",,,,,,,,5079623
"Norway","blank1","non.p20","p20",100,100,0,100,0,0,0,5079623
"Norway","blank1","non.p20","primary",,,,,,,,5079623
"Norway","blank1","non.p20","rural",100,100,,100,,,,5079623
"Norway","blank1","non.p20","secondary",,,,,,,,5079623
"Norway","blank1","non.p20","stunted",,,,,,,,5079623
"Norway","blank1","non.p20","under5",100,100,,100,,,,5079623
"Norway","blank1","non.p20","urban",100,100,,100,,,,5079623
"Norway","blank1","p20","primary",,,,,,,,5079623
"Norway","blank1","p20","rural",100,0,,0,,,,5079623
"Norway","blank1","p20","secondary",,,,,,,,5079623
"Norway","blank1","p20","stunted",,,,,,,,5079623
"Norway","blank1","p20","under5",100,0,,0,,,,5079623
"Norway","blank1","p20","urban",100,0,,0,,,,5079623
"Norway","blank1","primary","rural",,,,,,,,5079623
"Norway","blank1","primary","secondary",,,,,,,,5079623
"Norway","blank1","primary","stunted",,,,,,,,5079623
"Norway","blank1","primary","under5",,,,,,,,5079623
"Norway","blank1","primary","urban",,,,,,,,5079623
"Norway","blank1","rural","secondary",,,,,,,,5079623
"Norway","blank1","rural","stunted",,,,,,,,5079623
"Norway","blank1","rural","under5",100,,,,,,,5079623
"Norway","blank1","rural","urban",100,,,,,,,5079623
"Norway","blank1","secondary","stunted",,,,,,,,5079623
"Norway","blank1","secondary","under5",,,,,,,,5079623
"Norway","blank1","secondary","urban",,,,,,,,5079623
"Norway","blank1","stunted","under5",,,,,,,,5079623
"Norway","blank1","stunted","urban",,,,,,,,5079623
"Norway","blank1","under5","urban",100,,,,,,,5079623
"Norway","blank2","ext","female",100,0,,0,,,,5079623
"Norway","blank2","ext","fifteento49",100,0,,0,,,,5079623
"Norway","blank2","ext","fiveto14",100,0,,0,,,,5079623
"Norway","blank2","ext","gt49",100,0,,0,,,,5079623
"Norway","blank2","ext","higher",,,,,,,,5079623
"Norway","blank2","ext","male",100,0,,0,,,,5079623
"Norway","blank2","ext","no.birth.reg",,,,,,,,5079623
"Norway","blank2","ext","no.educ",,,,,,,,5079623
"Norway","blank2","ext","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","ext","non.p20",100,0,100,0,0,100,0,5079623
"Norway","blank2","ext","p20",100,0,0,0,0,0,0,5079623
"Norway","blank2","ext","primary",,,,,,,,5079623
"Norway","blank2","ext","rural",100,0,,0,,,,5079623
"Norway","blank2","ext","secondary",,,,,,,,5079623
"Norway","blank2","ext","stunted",,,,,,,,5079623
"Norway","blank2","ext","under5",100,0,,0,,,,5079623
"Norway","blank2","ext","urban",100,0,,0,,,,5079623
"Norway","blank2","female","fifteento49",100,,,,,,,5079623
"Norway","blank2","female","fiveto14",100,,,,,,,5079623
"Norway","blank2","female","gt49",100,,,,,,,5079623
"Norway","blank2","female","higher",,,,,,,,5079623
"Norway","blank2","female","male",100,,,,,,,5079623
"Norway","blank2","female","no.birth.reg",,,,,,,,5079623
"Norway","blank2","female","no.educ",,,,,,,,5079623
"Norway","blank2","female","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","female","non.p20",100,,100,,,100,,5079623
"Norway","blank2","female","p20",100,,0,,,0,,5079623
"Norway","blank2","female","primary",,,,,,,,5079623
"Norway","blank2","female","rural",100,,,,,,,5079623
"Norway","blank2","female","secondary",,,,,,,,5079623
"Norway","blank2","female","stunted",,,,,,,,5079623
"Norway","blank2","female","under5",100,,,,,,,5079623
"Norway","blank2","female","urban",100,,,,,,,5079623
"Norway","blank2","fifteento49","fiveto14",100,,,,,,,5079623
"Norway","blank2","fifteento49","gt49",100,,,,,,,5079623
"Norway","blank2","fifteento49","higher",,,,,,,,5079623
"Norway","blank2","fifteento49","male",100,,,,,,,5079623
"Norway","blank2","fifteento49","no.birth.reg",,,,,,,,5079623
"Norway","blank2","fifteento49","no.educ",,,,,,,,5079623
"Norway","blank2","fifteento49","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","fifteento49","non.p20",100,,100,,,100,,5079623
"Norway","blank2","fifteento49","p20",100,,0,,,0,,5079623
"Norway","blank2","fifteento49","primary",,,,,,,,5079623
"Norway","blank2","fifteento49","rural",100,,,,,,,5079623
"Norway","blank2","fifteento49","secondary",,,,,,,,5079623
"Norway","blank2","fifteento49","stunted",,,,,,,,5079623
"Norway","blank2","fifteento49","under5",100,,,,,,,5079623
"Norway","blank2","fifteento49","urban",100,,,,,,,5079623
"Norway","blank2","fiveto14","gt49",100,,,,,,,5079623
"Norway","blank2","fiveto14","higher",,,,,,,,5079623
"Norway","blank2","fiveto14","male",100,,,,,,,5079623
"Norway","blank2","fiveto14","no.birth.reg",,,,,,,,5079623
"Norway","blank2","fiveto14","no.educ",,,,,,,,5079623
"Norway","blank2","fiveto14","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","fiveto14","non.p20",100,,100,,,100,,5079623
"Norway","blank2","fiveto14","p20",100,,0,,,0,,5079623
"Norway","blank2","fiveto14","primary",,,,,,,,5079623
"Norway","blank2","fiveto14","rural",100,,,,,,,5079623
"Norway","blank2","fiveto14","secondary",,,,,,,,5079623
"Norway","blank2","fiveto14","stunted",,,,,,,,5079623
"Norway","blank2","fiveto14","under5",100,,,,,,,5079623
"Norway","blank2","fiveto14","urban",100,,,,,,,5079623
"Norway","blank2","gt49","higher",,,,,,,,5079623
"Norway","blank2","gt49","male",100,,,,,,,5079623
"Norway","blank2","gt49","no.birth.reg",,,,,,,,5079623
"Norway","blank2","gt49","no.educ",,,,,,,,5079623
"Norway","blank2","gt49","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","gt49","non.p20",100,,100,,,100,,5079623
"Norway","blank2","gt49","p20",100,,0,,,0,,5079623
"Norway","blank2","gt49","primary",,,,,,,,5079623
"Norway","blank2","gt49","rural",100,,,,,,,5079623
"Norway","blank2","gt49","secondary",,,,,,,,5079623
"Norway","blank2","gt49","stunted",,,,,,,,5079623
"Norway","blank2","gt49","under5",100,,,,,,,5079623
"Norway","blank2","gt49","urban",100,,,,,,,5079623
"Norway","blank2","higher","male",,,,,,,,5079623
"Norway","blank2","higher","no.birth.reg",,,,,,,,5079623
"Norway","blank2","higher","no.educ",,,,,,,,5079623
"Norway","blank2","higher","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","higher","non.p20",,,,,,,,5079623
"Norway","blank2","higher","p20",,,,,,,,5079623
"Norway","blank2","higher","primary",,,,,,,,5079623
"Norway","blank2","higher","rural",,,,,,,,5079623
"Norway","blank2","higher","secondary",,,,,,,,5079623
"Norway","blank2","higher","stunted",,,,,,,,5079623
"Norway","blank2","higher","under5",,,,,,,,5079623
"Norway","blank2","higher","urban",,,,,,,,5079623
"Norway","blank2","male","no.birth.reg",,,,,,,,5079623
"Norway","blank2","male","no.educ",,,,,,,,5079623
"Norway","blank2","male","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","male","non.p20",100,,100,,,100,,5079623
"Norway","blank2","male","p20",100,,0,,,0,,5079623
"Norway","blank2","male","primary",,,,,,,,5079623
"Norway","blank2","male","rural",100,,,,,,,5079623
"Norway","blank2","male","secondary",,,,,,,,5079623
"Norway","blank2","male","stunted",,,,,,,,5079623
"Norway","blank2","male","under5",100,,,,,,,5079623
"Norway","blank2","male","urban",100,,,,,,,5079623
"Norway","blank2","no.birth.reg","no.educ",,,,,,,,5079623
"Norway","blank2","no.birth.reg","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","no.birth.reg","non.p20",,,,,,,,5079623
"Norway","blank2","no.birth.reg","p20",,,,,,,,5079623
"Norway","blank2","no.birth.reg","primary",,,,,,,,5079623
"Norway","blank2","no.birth.reg","rural",,,,,,,,5079623
"Norway","blank2","no.birth.reg","secondary",,,,,,,,5079623
"Norway","blank2","no.birth.reg","stunted",,,,,,,,5079623
"Norway","blank2","no.birth.reg","under5",,,,,,,,5079623
"Norway","blank2","no.birth.reg","urban",,,,,,,,5079623
"Norway","blank2","no.educ","no.skilled.attendant",,,,,,,,5079623
"Norway","blank2","no.educ","non.p20",,,,,,,,5079623
"Norway","blank2","no.educ","p20",,,,,,,,5079623
"Norway","blank2","no.educ","primary",,,,,,,,5079623
"Norway","blank2","no.educ","rural",,,,,,,,5079623
"Norway","blank2","no.educ","secondary",,,,,,,,5079623
"Norway","blank2","no.educ","stunted",,,,,,,,5079623
"Norway","blank2","no.educ","under5",,,,,,,,5079623
"Norway","blank2","no.educ","urban",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","non.p20",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","p20",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","primary",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","rural",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","secondary",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","stunted",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","under5",,,,,,,,5079623
"Norway","blank2","no.skilled.attendant","urban",,,,,,,,5079623
"Norway","blank2","non.p20","p20",100,100,0,100,0,0,0,5079623
"Norway","blank2","non.p20","primary",,,,,,,,5079623
"Norway","blank2","non.p20","rural",100,100,,100,,,,5079623
"Norway","blank2","non.p20","secondary",,,,,,,,5079623
"Norway","blank2","non.p20","stunted",,,,,,,,5079623
"Norway","blank2","non.p20","under5",100,100,,100,,,,5079623
"Norway","blank2","non.p20","urban",100,100,,100,,,,5079623
"Norway","blank2","p20","primary",,,,,,,,5079623
"Norway","blank2","p20","rural",100,0,,0,,,,5079623
"Norway","blank2","p20","secondary",,,,,,,,5079623
"Norway","blank2","p20","stunted",,,,,,,,5079623
"Norway","blank2","p20","under5",100,0,,0,,,,5079623
"Norway","blank2","p20","urban",100,0,,0,,,,5079623
"Norway","blank2","primary","rural",,,,,,,,5079623
"Norway","blank2","primary","secondary",,,,,,,,5079623
"Norway","blank2","primary","stunted",,,,,,,,5079623
"Norway","blank2","primary","under5",,,,,,,,5079623
"Norway","blank2","primary","urban",,,,,,,,5079623
"Norway","blank2","rural","secondary",,,,,,,,5079623
"Norway","blank2","rural","stunted",,,,,,,,5079623
"Norway","blank2","rural","under5",100,,,,,,,5079623
"Norway","blank2","rural","urban",100,,,,,,,5079623
"Norway","blank2","secondary","stunted",,,,,,,,5079623
"Norway","blank2","secondary","under5",,,,,,,,5079623
"Norway","blank2","secondary","urban",,,,,,,,5079623
"Norway","blank2","stunted","under5",,,,,,,,5079623
"Norway","blank2","stunted","urban",,,,,,,,5079623
"Norway","blank2","under5","urban",100,,,,,,,5079623
"Norway","ext","female","fifteento49",0,,,,,,,5079623
"Norway","ext","female","fiveto14",0,,,,,,,5079623
"Norway","ext","female","gt49",0,,,,,,,5079623
"Norway","ext","female","higher",,,,,,,,5079623
"Norway","ext","female","male",0,,,,,,,5079623
"Norway","ext","female","no.birth.reg",,,,,,,,5079623
"Norway","ext","female","no.educ",,,,,,,,5079623
"Norway","ext","female","no.skilled.attendant",,,,,,,,5079623
"Norway","ext","female","non.p20",0,,100,,,0,0,5079623
"Norway","ext","female","p20",0,,0,,,0,,5079623
"Norway","ext","female","primary",,,,,,,,5079623
"Norway","ext","female","rural",0,,,,,,,5079623
"Norway","ext","female","secondary",,,,,,,,5079623
"Norway","ext","female","stunted",,,,,,,,5079623
"Norway","ext","female","under5",0,,,,,,,5079623
"Norway","ext","female","urban",0,,,,,,,5079623
"Norway","ext","fifteento49","fiveto14",0,,,,,,,5079623
"Norway","ext","fifteento49","gt49",0,,,,,,,5079623
"Norway","ext","fifteento49","higher",,,,,,,,5079623
"Norway","ext","fifteento49","male",0,,,,,,,5079623
"Norway","ext","fifteento49","no.birth.reg",,,,,,,,5079623
"Norway","ext","fifteento49","no.educ",,,,,,,,5079623
"Norway","ext","fifteento49","no.skilled.attendant",,,,,,,,5079623
"Norway","ext","fifteento49","non.p20",0,,100,,,0,0,5079623
"Norway","ext","fifteento49","p20",0,,0,,,0,,5079623
"Norway","ext","fifteento49","primary",,,,,,,,5079623
"Norway","ext","fifteento49","rural",0,,,,,,,5079623
"Norway","ext","fifteento49","secondary",,,,,,,,5079623
"Norway","ext","fifteento49","stunted",,,,,,,,5079623
"Norway","ext","fifteento49","under5",0,,,,,,,5079623
"Norway","ext","fifteento49","urban",0,,,,,,,5079623
"Norway","ext","fiveto14","gt49",0,,,,,,,5079623
"Norway","ext","fiveto14","higher",,,,,,,,5079623
"Norway","ext","fiveto14","male",0,,,,,,,5079623
"Norway","ext","fiveto14","no.birth.reg",,,,,,,,5079623
"Norway","ext","fiveto14","no.educ",,,,,,,,5079623
"Norway","ext","fiveto14","no.skilled.attendant",,,,,,,,5079623
"Norway","ext","fiveto14","non.p20",0,,100,,,0,0,5079623
"Norway","ext","fiveto14","p20",0,,0,,,0,,5079623
"Norway","ext","fiveto14","primary",,,,,,,,5079623
"Norway","ext","fiveto14","rural",0,,,,,,,5079623
"Norway","ext","fiveto14","secondary",,,,,,,,5079623
"Norway","ext","fiveto14","stunted",,,,,,,,5079623
"Norway","ext","fiveto14","under5",0,,,,,,,5079623
"Norway","ext","fiveto14","urban",0,,,,,,,5079623
"Norway","ext","gt49","higher",,,,,,,,5079623
"Norway","ext","gt49","male",0,,,,,,,5079623
"Norway","ext","gt49","no.birth.reg",,,,,,,,5079623
"Norway","ext","gt49","no.educ",,,,,,,,5079623
"Norway","ext","gt49","no.skilled.attendant",,,,,,,,5079623
"Norway","ext","gt49","non.p20",0,,100,,,0,0,5079623
"Norway","ext","gt49","p20",0,,0,,,0,,5079623
"Norway","ext","gt49","primary",,,,,,,,5079623
"Norway","ext","gt49","rural",0,,,,,,,5079623
"Norway","ext","gt49","secondary",,,,,,,,5079623
"Norway","ext","gt49","stunted",,,,,,,,5079623
"Norway","ext","gt49","under5",0,,,,,,,5079623
"Norway","ext","gt49","urban",0,,,,,,,5079623
"Norway","ext","higher","male",,,,,,,,5079623
"Norway","ext","higher","no.birth.reg",,,,,,,,5079623
"Norway","ext","higher","no.educ",,,,,,,,5079623
"Norway","ext","higher","no.skilled.attendant",,,,,,,,5079623
"Norway","ext","higher","non.p20",,,,,,0,0,5079623
"Norway","ext","higher","p20",,,,,,,,5079623
"Norway","ext","higher","primary",,,,,,,,5079623
"Norway","ext","higher","rural",,,,,,,,5079623
"Norway","ext","higher","secondary",,,,,,,,5079623
"Norway","ext","higher","stunted",,,,,,,,5079623
"Norway","ext","higher","under5",,,,,,,,5079623
"Norway","ext","higher","urban",,,,,,,,5079623
"Norway","ext","male","no.birth.reg",,,,,,,,5079623
"Norway","ext","male","no.educ",,,,,,,,5079623
