"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Solomon Islands","blank1","blank2","ext",100,100,33,100,33,33,33,560000
"Solomon Islands","blank1","blank2","female",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","fifteento49",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","fiveto14",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","gt49",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","higher",,,,,,,,560000
"Solomon Islands","blank1","blank2","male",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","blank2","no.educ",,,,,,,,560000
"Solomon Islands","blank1","blank2","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","blank2","non.p20",100,100,51,100,51,51,51,560000
"Solomon Islands","blank1","blank2","p20",100,100,49,100,49,49,49,560000
"Solomon Islands","blank1","blank2","primary",,,,,,,,560000
"Solomon Islands","blank1","blank2","rural",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","secondary",,,,,,,,560000
"Solomon Islands","blank1","blank2","stunted",,,,,,,,560000
"Solomon Islands","blank1","blank2","under5",100,100,,100,,,,560000
"Solomon Islands","blank1","blank2","urban",100,100,,100,,,,560000
"Solomon Islands","blank1","ext","female",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","fifteento49",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","fiveto14",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","gt49",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","higher",,,,,,,,560000
"Solomon Islands","blank1","ext","male",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","ext","no.educ",,,,,,,,560000
"Solomon Islands","blank1","ext","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","ext","non.p20",100,33,51,33,0,51,0,560000
"Solomon Islands","blank1","ext","p20",100,33,49,33,33,49,33,560000
"Solomon Islands","blank1","ext","primary",,,,,,,,560000
"Solomon Islands","blank1","ext","rural",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","secondary",,,,,,,,560000
"Solomon Islands","blank1","ext","stunted",,,,,,,,560000
"Solomon Islands","blank1","ext","under5",100,33,,33,,,,560000
"Solomon Islands","blank1","ext","urban",100,33,,33,,,,560000
"Solomon Islands","blank1","female","fifteento49",100,,,,,,,560000
"Solomon Islands","blank1","female","fiveto14",100,,,,,,,560000
"Solomon Islands","blank1","female","gt49",100,,,,,,,560000
"Solomon Islands","blank1","female","higher",,,,,,,,560000
"Solomon Islands","blank1","female","male",100,,,,,,,560000
"Solomon Islands","blank1","female","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","female","no.educ",,,,,,,,560000
"Solomon Islands","blank1","female","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","female","non.p20",100,,51,,,51,,560000
"Solomon Islands","blank1","female","p20",100,,49,,,49,,560000
"Solomon Islands","blank1","female","primary",,,,,,,,560000
"Solomon Islands","blank1","female","rural",100,,,,,,,560000
"Solomon Islands","blank1","female","secondary",,,,,,,,560000
"Solomon Islands","blank1","female","stunted",,,,,,,,560000
"Solomon Islands","blank1","female","under5",100,,,,,,,560000
"Solomon Islands","blank1","female","urban",100,,,,,,,560000
"Solomon Islands","blank1","fifteento49","fiveto14",100,,,,,,,560000
"Solomon Islands","blank1","fifteento49","gt49",100,,,,,,,560000
"Solomon Islands","blank1","fifteento49","higher",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","male",100,,,,,,,560000
"Solomon Islands","blank1","fifteento49","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","no.educ",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","non.p20",100,,51,,,51,,560000
"Solomon Islands","blank1","fifteento49","p20",100,,49,,,49,,560000
"Solomon Islands","blank1","fifteento49","primary",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","rural",100,,,,,,,560000
"Solomon Islands","blank1","fifteento49","secondary",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","stunted",,,,,,,,560000
"Solomon Islands","blank1","fifteento49","under5",100,,,,,,,560000
"Solomon Islands","blank1","fifteento49","urban",100,,,,,,,560000
"Solomon Islands","blank1","fiveto14","gt49",100,,,,,,,560000
"Solomon Islands","blank1","fiveto14","higher",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","male",100,,,,,,,560000
"Solomon Islands","blank1","fiveto14","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","no.educ",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","non.p20",100,,51,,,51,,560000
"Solomon Islands","blank1","fiveto14","p20",100,,49,,,49,,560000
"Solomon Islands","blank1","fiveto14","primary",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","rural",100,,,,,,,560000
"Solomon Islands","blank1","fiveto14","secondary",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","stunted",,,,,,,,560000
"Solomon Islands","blank1","fiveto14","under5",100,,,,,,,560000
"Solomon Islands","blank1","fiveto14","urban",100,,,,,,,560000
"Solomon Islands","blank1","gt49","higher",,,,,,,,560000
"Solomon Islands","blank1","gt49","male",100,,,,,,,560000
"Solomon Islands","blank1","gt49","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","gt49","no.educ",,,,,,,,560000
"Solomon Islands","blank1","gt49","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","gt49","non.p20",100,,51,,,51,,560000
"Solomon Islands","blank1","gt49","p20",100,,49,,,49,,560000
"Solomon Islands","blank1","gt49","primary",,,,,,,,560000
"Solomon Islands","blank1","gt49","rural",100,,,,,,,560000
"Solomon Islands","blank1","gt49","secondary",,,,,,,,560000
"Solomon Islands","blank1","gt49","stunted",,,,,,,,560000
"Solomon Islands","blank1","gt49","under5",100,,,,,,,560000
"Solomon Islands","blank1","gt49","urban",100,,,,,,,560000
"Solomon Islands","blank1","higher","male",,,,,,,,560000
"Solomon Islands","blank1","higher","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","higher","no.educ",,,,,,,,560000
"Solomon Islands","blank1","higher","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","higher","non.p20",,,,,,,,560000
"Solomon Islands","blank1","higher","p20",,,,,,,,560000
"Solomon Islands","blank1","higher","primary",,,,,,,,560000
"Solomon Islands","blank1","higher","rural",,,,,,,,560000
"Solomon Islands","blank1","higher","secondary",,,,,,,,560000
"Solomon Islands","blank1","higher","stunted",,,,,,,,560000
"Solomon Islands","blank1","higher","under5",,,,,,,,560000
"Solomon Islands","blank1","higher","urban",,,,,,,,560000
"Solomon Islands","blank1","male","no.birth.reg",,,,,,,,560000
"Solomon Islands","blank1","male","no.educ",,,,,,,,560000
"Solomon Islands","blank1","male","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","male","non.p20",100,,51,,,51,,560000
"Solomon Islands","blank1","male","p20",100,,49,,,49,,560000
"Solomon Islands","blank1","male","primary",,,,,,,,560000
"Solomon Islands","blank1","male","rural",100,,,,,,,560000
"Solomon Islands","blank1","male","secondary",,,,,,,,560000
"Solomon Islands","blank1","male","stunted",,,,,,,,560000
"Solomon Islands","blank1","male","under5",100,,,,,,,560000
"Solomon Islands","blank1","male","urban",100,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","no.educ",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","non.p20",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","p20",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","primary",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","rural",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","secondary",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","stunted",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","under5",,,,,,,,560000
"Solomon Islands","blank1","no.birth.reg","urban",,,,,,,,560000
"Solomon Islands","blank1","no.educ","no.skilled.attendant",,,,,,,,560000
"Solomon Islands","blank1","no.educ","non.p20",,,,,,,,560000
"Solomon Islands","blank1","no.educ","p20",,,,,,,,560000
"Solomon Islands","blank1","no.educ","primary",,,,,,,,560000
"Solomon Islands","blank1","no.educ","rural",,,,,,,,560000
