"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"tzhr7hdt","blank1","blank2","ext",100,100,44,100,44,44,44,50635000
"tzhr7hdt","blank1","blank2","female",100,100,51,100,51,51,51,50635000
"tzhr7hdt","blank1","blank2","fifteento49",100,100,43,100,43,43,43,50635000
"tzhr7hdt","blank1","blank2","fiveto14",100,100,29,100,29,29,29,50635000
"tzhr7hdt","blank1","blank2","gt49",100,100,12,100,12,12,12,50635000
"tzhr7hdt","blank1","blank2","higher",100,100,2,100,2,2,2,17869000
"tzhr7hdt","blank1","blank2","male",100,100,49,100,49,49,49,50635000
"tzhr7hdt","blank1","blank2","no.birth.reg",100,100,73,100,73,73,73,8943000
"tzhr7hdt","blank1","blank2","no.educ",100,100,38,100,38,38,38,17869000
"tzhr7hdt","blank1","blank2","no.skilled.attendant",100,100,85,100,85,85,85,11736000
"tzhr7hdt","blank1","blank2","non.p20",100,100,36,100,36,36,36,50635000
"tzhr7hdt","blank1","blank2","p20",100,100,64,100,64,64,64,50635000
"tzhr7hdt","blank1","blank2","primary",100,100,62,100,62,62,62,17869000
"tzhr7hdt","blank1","blank2","rural",100,100,70,100,70,70,70,50635000
"tzhr7hdt","blank1","blank2","secondary",100,100,12,100,12,12,12,17869000
"tzhr7hdt","blank1","blank2","stunted",100,100,35,100,35,35,35,8943000
"tzhr7hdt","blank1","blank2","under5",100,100,17,100,17,17,17,50635000
"tzhr7hdt","blank1","blank2","urban",100,100,30,100,30,30,30,50635000
"tzhr7hdt","blank1","ext","female",100,44,51,44,22,51,22,50635000
"tzhr7hdt","blank1","ext","fifteento49",100,44,43,44,16,43,16,50635000
"tzhr7hdt","blank1","ext","fiveto14",100,44,29,44,14,29,14,50635000
"tzhr7hdt","blank1","ext","gt49",100,44,12,44,5,12,5,50635000
"tzhr7hdt","blank1","ext","higher",100,40,2,40,0,2,0,17869000
"tzhr7hdt","blank1","ext","male",100,44,49,44,21,49,21,50635000
"tzhr7hdt","blank1","ext","no.birth.reg",100,50,73,50,44,73,44,8943000
"tzhr7hdt","blank1","ext","no.educ",100,40,38,40,23,38,23,17869000
"tzhr7hdt","blank1","ext","no.skilled.attendant",100,46,85,46,42,85,42,11736000
"tzhr7hdt","blank1","ext","non.p20",100,44,36,44,0,36,0,50635000
"tzhr7hdt","blank1","ext","p20",100,44,64,44,44,64,44,50635000
"tzhr7hdt","blank1","ext","primary",100,40,62,40,18,62,18,17869000
"tzhr7hdt","blank1","ext","rural",100,44,70,44,42,70,42,50635000
"tzhr7hdt","blank1","ext","secondary",100,40,12,40,1,12,1,17869000
"tzhr7hdt","blank1","ext","stunted",100,50,35,50,20,35,20,8943000
"tzhr7hdt","blank1","ext","under5",100,44,17,44,8,17,8,50635000
"tzhr7hdt","blank1","ext","urban",100,44,30,44,2,30,2,50635000
"tzhr7hdt","blank1","female","fifteento49",100,51,43,51,22,43,22,50635000
"tzhr7hdt","blank1","female","fiveto14",100,51,29,51,14,29,14,50635000
"tzhr7hdt","blank1","female","gt49",100,51,12,51,6,12,6,50635000
"tzhr7hdt","blank1","female","higher",100,52,2,52,1,2,1,17869000
"tzhr7hdt","blank1","female","male",100,51,49,51,0,49,0,50635000
"tzhr7hdt","blank1","female","no.birth.reg",100,50,73,50,37,73,37,8943000
"tzhr7hdt","blank1","female","no.educ",100,52,38,52,23,38,23,17869000
"tzhr7hdt","blank1","female","no.skilled.attendant",100,100,85,100,85,85,85,11736000
"tzhr7hdt","blank1","female","non.p20",100,51,36,51,19,36,19,50635000
"tzhr7hdt","blank1","female","p20",100,51,64,51,33,64,33,50635000
"tzhr7hdt","blank1","female","primary",100,52,62,52,29,62,29,17869000
"tzhr7hdt","blank1","female","rural",100,51,70,51,36,70,36,50635000
"tzhr7hdt","blank1","female","secondary",100,52,12,52,5,12,5,17869000
"tzhr7hdt","blank1","female","stunted",100,50,35,50,16,35,16,8943000
"tzhr7hdt","blank1","female","under5",100,51,17,51,8,17,8,50635000
"tzhr7hdt","blank1","female","urban",100,51,30,51,15,30,15,50635000
"tzhr7hdt","blank1","fifteento49","fiveto14",100,43,29,43,0,29,0,50635000
"tzhr7hdt","blank1","fifteento49","gt49",100,43,12,43,0,12,0,50635000
"tzhr7hdt","blank1","fifteento49","higher",100,69,2,69,2,2,2,17869000
"tzhr7hdt","blank1","fifteento49","male",100,43,49,43,21,49,21,50635000
"tzhr7hdt","blank1","fifteento49","no.birth.reg",100,0,73,0,0,73,0,8943000
"tzhr7hdt","blank1","fifteento49","no.educ",100,69,38,69,18,38,18,17869000
"tzhr7hdt","blank1","fifteento49","no.skilled.attendant",100,100,85,100,85,85,85,11736000
"tzhr7hdt","blank1","fifteento49","non.p20",100,43,36,43,19,36,19,50635000
"tzhr7hdt","blank1","fifteento49","p20",100,43,64,43,24,64,24,50635000
"tzhr7hdt","blank1","fifteento49","primary",100,69,62,69,50,62,50,17869000
"tzhr7hdt","blank1","fifteento49","rural",100,43,70,43,28,70,28,50635000
"tzhr7hdt","blank1","fifteento49","secondary",100,69,12,69,10,12,10,17869000
"tzhr7hdt","blank1","fifteento49","stunted",100,0,35,0,0,35,0,8943000
"tzhr7hdt","blank1","fifteento49","under5",100,43,17,43,0,17,0,50635000
"tzhr7hdt","blank1","fifteento49","urban",100,43,30,43,15,30,15,50635000
"tzhr7hdt","blank1","fiveto14","gt49",100,29,12,29,0,12,0,50635000
"tzhr7hdt","blank1","fiveto14","higher",100,0,2,0,0,2,0,17869000
"tzhr7hdt","blank1","fiveto14","male",100,29,49,29,14,49,14,50635000
"tzhr7hdt","blank1","fiveto14","no.birth.reg",100,0,73,0,0,73,0,8943000
"tzhr7hdt","blank1","fiveto14","no.educ",100,0,38,0,0,38,0,17869000
"tzhr7hdt","blank1","fiveto14","no.skilled.attendant",100,0,85,0,0,85,0,11736000
"tzhr7hdt","blank1","fiveto14","non.p20",100,29,36,29,9,36,9,50635000
"tzhr7hdt","blank1","fiveto14","p20",100,29,64,29,20,64,20,50635000
"tzhr7hdt","blank1","fiveto14","primary",100,0,62,0,0,62,0,17869000
"tzhr7hdt","blank1","fiveto14","rural",100,29,70,29,22,70,22,50635000
"tzhr7hdt","blank1","fiveto14","secondary",100,0,12,0,0,12,0,17869000
"tzhr7hdt","blank1","fiveto14","stunted",100,0,35,0,0,35,0,8943000
"tzhr7hdt","blank1","fiveto14","under5",100,29,17,29,0,17,0,50635000
"tzhr7hdt","blank1","fiveto14","urban",100,29,30,29,7,30,7,50635000
"tzhr7hdt","blank1","gt49","higher",100,31,2,31,0,2,0,17869000
"tzhr7hdt","blank1","gt49","male",100,12,49,12,5,49,5,50635000
"tzhr7hdt","blank1","gt49","no.birth.reg",100,0,73,0,0,73,0,8943000
"tzhr7hdt","blank1","gt49","no.educ",100,31,38,31,20,38,20,17869000
"tzhr7hdt","blank1","gt49","no.skilled.attendant",100,0,85,0,0,85,0,11736000
"tzhr7hdt","blank1","gt49","non.p20",100,12,36,12,4,36,4,50635000
"tzhr7hdt","blank1","gt49","p20",100,12,64,12,8,64,8,50635000
"tzhr7hdt","blank1","gt49","primary",100,31,62,31,12,62,12,17869000
"tzhr7hdt","blank1","gt49","rural",100,12,70,12,9,70,9,50635000
"tzhr7hdt","blank1","gt49","secondary",100,31,12,31,2,12,2,17869000
"tzhr7hdt","blank1","gt49","stunted",100,0,35,0,0,35,0,8943000
"tzhr7hdt","blank1","gt49","under5",100,12,17,12,0,17,0,50635000
"tzhr7hdt","blank1","gt49","urban",100,12,30,12,3,30,3,50635000
"tzhr7hdt","blank1","higher","male",100,2,48,2,2,48,2,17869000
"tzhr7hdt","blank1","higher","no.birth.reg",,,,,,,,17869000
"tzhr7hdt","blank1","higher","no.educ",100,2,38,2,0,38,0,17869000
"tzhr7hdt","blank1","higher","no.skilled.attendant",100,1,85,1,1,85,1,6768000
"tzhr7hdt","blank1","higher","non.p20",100,2,40,2,2,40,2,17869000
"tzhr7hdt","blank1","higher","p20",100,2,60,2,0,60,0,17869000
"tzhr7hdt","blank1","higher","primary",100,2,62,2,2,62,2,17869000
"tzhr7hdt","blank1","higher","rural",100,2,68,2,0,68,0,17869000
"tzhr7hdt","blank1","higher","secondary",100,2,12,2,2,12,2,17869000
"tzhr7hdt","blank1","higher","stunted",,,,,,,,17869000
"tzhr7hdt","blank1","higher","under5",100,2,0,2,0,0,0,17869000
"tzhr7hdt","blank1","higher","urban",100,2,32,2,2,32,2,17869000
"tzhr7hdt","blank1","male","no.birth.reg",100,50,73,50,36,73,36,8943000
"tzhr7hdt","blank1","male","no.educ",100,48,38,48,15,38,15,17869000
"tzhr7hdt","blank1","male","no.skilled.attendant",100,0,85,0,0,85,0,11736000
"tzhr7hdt","blank1","male","non.p20",100,49,36,49,17,36,17,50635000
"tzhr7hdt","blank1","male","p20",100,49,64,49,31,64,31,50635000
"tzhr7hdt","blank1","male","primary",100,48,62,48,33,62,33,17869000
"tzhr7hdt","blank1","male","rural",100,49,70,49,35,70,35,50635000
"tzhr7hdt","blank1","male","secondary",100,48,12,48,7,12,7,17869000
"tzhr7hdt","blank1","male","stunted",100,50,35,50,18,35,18,8943000
"tzhr7hdt","blank1","male","under5",100,49,17,49,8,17,8,50635000
"tzhr7hdt","blank1","male","urban",100,49,30,49,14,30,14,50635000
"tzhr7hdt","blank1","no.birth.reg","no.educ",,,,,,,,17869000
"tzhr7hdt","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,8943000
"tzhr7hdt","blank1","no.birth.reg","non.p20",100,73,31,73,14,31,14,8943000
"tzhr7hdt","blank1","no.birth.reg","p20",100,73,69,73,59,69,59,8943000
"tzhr7hdt","blank1","no.birth.reg","primary",,,,,,,,17869000
"tzhr7hdt","blank1","no.birth.reg","rural",100,73,74,73,60,74,60,8943000
"tzhr7hdt","blank1","no.birth.reg","secondary",,,,,,,,17869000
"tzhr7hdt","blank1","no.birth.reg","stunted",100,73,35,73,27,35,27,8943000
"tzhr7hdt","blank1","no.birth.reg","under5",100,73,100,73,73,100,73,8943000
"tzhr7hdt","blank1","no.birth.reg","urban",100,73,26,73,13,26,13,8943000
"tzhr7hdt","blank1","no.educ","no.skilled.attendant",100,34,85,34,32,85,32,6768000
"tzhr7hdt","blank1","no.educ","non.p20",100,38,40,38,7,40,7,17869000
"tzhr7hdt","blank1","no.educ","p20",100,38,60,38,31,60,31,17869000
"tzhr7hdt","blank1","no.educ","primary",100,38,62,38,0,62,0,17869000
"tzhr7hdt","blank1","no.educ","rural",100,38,68,38,31,68,31,17869000
"tzhr7hdt","blank1","no.educ","secondary",100,38,12,38,0,12,0,17869000
"tzhr7hdt","blank1","no.educ","stunted",,,,,,,,17869000
"tzhr7hdt","blank1","no.educ","under5",100,38,0,38,0,0,0,17869000
"tzhr7hdt","blank1","no.educ","urban",100,38,32,38,7,32,7,17869000
"tzhr7hdt","blank1","no.skilled.attendant","non.p20",100,85,35,85,26,35,26,11736000
"tzhr7hdt","blank1","no.skilled.attendant","p20",100,85,65,85,59,65,59,11736000
"tzhr7hdt","blank1","no.skilled.attendant","primary",100,85,66,85,53,66,53,6768000
"tzhr7hdt","blank1","no.skilled.attendant","rural",100,85,70,85,63,70,63,11736000
"tzhr7hdt","blank1","no.skilled.attendant","secondary",100,85,10,85,6,10,6,6768000
"tzhr7hdt","blank1","no.skilled.attendant","stunted",,,,,,,,8943000
"tzhr7hdt","blank1","no.skilled.attendant","under5",100,85,0,85,0,0,0,11736000
